Weight, FP, FN, RF
0.00|0.00|0.00|1.00, 0.727272727273, 0.727272727273, 0.727272727273
0.00|0.00|0.26|0.74, 0.727272727273, 0.727272727273, 0.727272727273
0.00|0.00|0.50|0.50, 0.522727272727, 0.522727272727, 0.522727272727
0.00|0.00|0.74|0.26, 0.659090909091, 0.659090909091, 0.659090909091
0.00|0.00|1.00|0.00, 0.636363636364, 0.636363636364, 0.636363636364
0.00|0.25|0.75|0.00, 0.704545454545, 0.704545454545, 0.704545454545
0.00|0.26|0.00|0.74, 0.727272727273, 0.727272727273, 0.727272727273
0.00|0.42|0.29|0.29, 0.590909090909, 0.590909090909, 0.590909090909
0.00|0.49|0.51|0.00, 0.545454545455, 0.545454545455, 0.545454545455
0.00|0.49|0.00|0.51, 0.727272727273, 0.727272727273, 0.727272727273
0.00|0.73|0.27|0.00, 0.477272727273, 0.477272727273, 0.477272727273
0.00|0.74|0.00|0.26, 0.545454545455, 0.545454545455, 0.545454545455
0.00|1.00|0.00|0.00, 0.545454545455, 0.545454545455, 0.545454545455
0.18|0.18|0.17|0.47, 0.704545454545, 0.704545454545, 0.704545454545
0.18|0.18|0.47|0.17, 0.704545454545, 0.704545454545, 0.704545454545
0.25|0.48|0.00|0.27, 0.545454545455, 0.545454545455, 0.545454545455
0.25|0.48|0.27|0.00, 0.477272727273, 0.477272727273, 0.477272727273
0.25|0.00|0.00|0.75, 0.727272727273, 0.727272727273, 0.727272727273
0.26|0.74|0.00|0.00, 0.545454545455, 0.545454545455, 0.545454545455
0.26|0.00|0.74|0.00, 0.659090909091, 0.659090909091, 0.659090909091
0.40|0.00|0.30|0.30, 0.704545454545, 0.704545454545, 0.704545454545
0.48|0.24|0.00|0.27, 0.545454545455, 0.545454545455, 0.545454545455
0.49|0.00|0.00|0.51, 0.727272727273, 0.727272727273, 0.727272727273
0.49|0.25|0.27|0.00, 0.477272727273, 0.477272727273, 0.477272727273
0.49|0.00|0.51|0.00, 0.545454545455, 0.545454545455, 0.545454545455
0.50|0.50|0.00|0.00, 0.545454545455, 0.545454545455, 0.545454545455
0.73|0.00|0.00|0.27, 0.545454545455, 0.545454545455, 0.545454545455
0.74|0.00|0.26|0.00, 0.727272727273, 0.727272727273, 0.727272727273
0.74|0.26|0.00|0.00, 0.545454545455, 0.545454545455, 0.545454545455
1.00|0.00|0.00|0.00, 0.545454545455, 0.545454545455, 0.545454545455
