Dataset, FP, FN, RF
BB11005, 0.454545454545, 0.454545454545, 0.454545454545
BB11018, 0.181818181818, 0.181818181818, 0.181818181818
BB11030, 0.727272727273, 0.727272727273, 0.727272727273
BB11031, 1.0, 1.0, 1.0
BB11033, 0.5, 0.5, 0.5
BB12001, 0.0, 0.0, 0.0
BB12004, 0.416666666667, 0.416666666667, 0.416666666667
BB12008, 0.7, 0.7, 0.7
BB12011, 0.222222222222, 0.222222222222, 0.222222222222
BB12015, 0.0, 0.0, 0.0
BB12026, 0.266666666667, 0.266666666667, 0.266666666667
BB12027, 0.3, 0.3, 0.3
BB12029, 0.444444444444, 0.444444444444, 0.444444444444
BB12035, 0.125, 0.125, 0.125
BB12037, 0.4, 0.4, 0.4
BB12039, 0.5, 0.5, 0.5
BB12043, 0.258064516129, 0.258064516129, 0.258064516129
BB12044, 0.375, 0.375, 0.375
BB20001, 0.692307692308, 0.692307692308, 0.692307692308
BB20002, 0.882352941176, 0.882352941176, 0.882352941176
BB20003, 0.267605633803, 0.267605633803, 0.267605633803
BB20004, 0.153846153846, 0.153846153846, 0.153846153846
BB20005, 0.307692307692, 0.307692307692, 0.307692307692
BB20006, 0.125, 0.125, 0.125
BB20007, 0.4, 0.4, 0.4
BB20008, 0.641509433962, 0.641509433962, 0.641509433962
BB20009, 0.0384615384615, 0.0384615384615, 0.0384615384615
BB20010, 0.192307692308, 0.192307692308, 0.192307692308
BB20011, 0.444444444444, 0.444444444444, 0.444444444444
BB20012, 0.416666666667, 0.416666666667, 0.416666666667
BB20013, 0.4, 0.4, 0.4
BB20014, 0.483870967742, 0.483870967742, 0.483870967742
BB20015, 0.647058823529, 0.647058823529, 0.647058823529
BB20016, 0.625, 0.625, 0.625
BB20017, 0.047619047619, 0.047619047619, 0.047619047619
BB20018, 0.38, 0.38, 0.38
BB20019, 0.380952380952, 0.380952380952, 0.380952380952
BB20020, 0.0769230769231, 0.0769230769231, 0.0769230769231
BB20021, 0.26, 0.26, 0.26
BB20022, 0.145454545455, 0.145454545455, 0.145454545455
BB20023, 0.142857142857, 0.142857142857, 0.142857142857
BB20024, 0.481481481481, 0.481481481481, 0.481481481481
BB20025, 0.141025641026, 0.141025641026, 0.141025641026
BB20026, 0.448275862069, 0.448275862069, 0.448275862069
BB20027, 0.153846153846, 0.153846153846, 0.153846153846
BB20028, 0.0392156862745, 0.0392156862745, 0.0392156862745
BB20029, 0.538461538462, 0.538461538462, 0.538461538462
BB20030, 0.681818181818, 0.681818181818, 0.681818181818
BB20031, 0.40350877193, 0.40350877193, 0.40350877193
BB20032, 0.448275862069, 0.448275862069, 0.448275862069
BB20033, 0.244444444444, 0.244444444444, 0.244444444444
BB20034, 0.625, 0.625, 0.625
BB20035, 0.25, 0.25, 0.25
BB20036, 0.545454545455, 0.545454545455, 0.545454545455
BB20037, 0.306451612903, 0.306451612903, 0.306451612903
BB20038, 0.435897435897, 0.435897435897, 0.435897435897
BB20039, 0.352272727273, 0.352272727273, 0.352272727273
BB20040, 0.22619047619, 0.22619047619, 0.22619047619
BB20041, 0.355555555556, 0.355555555556, 0.355555555556
BB30001, 0.300884955752, 0.300884955752, 0.300884955752
BB30002, 0.25, 0.25, 0.25
BB30003, 0.345323741007, 0.345323741007, 0.345323741007
BB30004, 0.191489361702, 0.191489361702, 0.191489361702
BB30005, 0.2, 0.2, 0.2
BB30006, 0.666666666667, 0.666666666667, 0.666666666667
BB30007, 0.333333333333, 0.333333333333, 0.333333333333
BB30008, 0.272727272727, 0.272727272727, 0.272727272727
BB30009, 0.542857142857, 0.542857142857, 0.542857142857
BB30010, 0.148936170213, 0.148936170213, 0.148936170213
BB30011, 0.193548387097, 0.193548387097, 0.193548387097
BB30012, 0.209677419355, 0.209677419355, 0.209677419355
BB30013, 0.168674698795, 0.168674698795, 0.168674698795
BB30014, 0.268292682927, 0.268292682927, 0.268292682927
BB30015, 0.333333333333, 0.333333333333, 0.333333333333
BB30016, 0.382352941176, 0.382352941176, 0.382352941176
BB30017, 0.25, 0.25, 0.25
BB30018, 0.226666666667, 0.226666666667, 0.226666666667
