Dataset, FP, FN, RF
BB11001, 0.0, 0.0, 0.0
BB11002, 0.8, 0.8, 0.8
BB11003, 0.0, 0.0, 0.0
BB11004, 1.0, 1.0, 1.0
BB11005, 0.363636363636, 0.363636363636, 0.363636363636
BB11006, 0.4, 0.4, 0.4
BB11007, 0.666666666667, 0.666666666667, 0.666666666667
BB11008, 1.0, 1.0, 1.0
BB11009, 0.0, 0.0, 0.0
BB11010, 0.0, 0.0, 0.0
BB11011, 0.5, 0.5, 0.5
BB11012, 0.0, 0.0, 0.0
BB11013, 1.0, 1.0, 1.0
BB11014, 0.333333333333, 0.333333333333, 0.333333333333
BB11015, 0.0, 0.0, 0.0
BB11016, 0.6, 0.6, 0.6
BB11017, 1.0, 1.0, 1.0
BB11018, 0.454545454545, 0.454545454545, 0.454545454545
BB11019, 0.428571428571, 0.428571428571, 0.428571428571
BB11020, 0.333333333333, 0.333333333333, 0.333333333333
BB11021, 0.0, 0.0, 0.0
BB11022, 0.0, 0.0, 0.0
BB11023, 0.25, 0.25, 0.25
BB11024, 1.0, 1.0, 1.0
BB11025, 1.0, 1.0, 1.0
BB11026, 1.0, 1.0, 1.0
BB11027, 0.25, 0.25, 0.25
BB11028, 0.857142857143, 0.857142857143, 0.857142857143
BB11029, 0.0, 0.0, 0.0
BB11030, 0.727272727273, 0.727272727273, 0.727272727273
BB11031, 1.0, 1.0, 1.0
BB11032, 1.0, 1.0, 1.0
BB11033, 0.5, 0.5, 0.5
BB11034, 0.8, 0.8, 0.8
BB11035, 0.5, 0.5, 0.5
BB11036, 1.0, 1.0, 1.0
BB11037, 1.0, 1.0, 1.0
BB11038, 0.8, 0.8, 0.8
BB12001, 0.375, 0.375, 0.375
BB12002, 0.0, 0.0, 0.0
BB12003, 0.6, 0.6, 0.6
BB12004, 0.666666666667, 0.666666666667, 0.666666666667
BB12005, 0.333333333333, 0.333333333333, 0.333333333333
BB12006, 0.0, 0.0, 0.0
BB12007, 0.2, 0.2, 0.2
BB12008, 0.9, 0.9, 0.9
BB12009, 0.5, 0.5, 0.5
BB12010, 0.0, 0.0, 0.0
BB12011, 0.222222222222, 0.222222222222, 0.222222222222
BB12012, 0.0, 0.0, 0.0
BB12013, 0.2, 0.2, 0.2
BB12014, 1.0, 1.0, 1.0
BB12015, 0.111111111111, 0.111111111111, 0.111111111111
BB12016, 1.0, 1.0, 1.0
BB12017, 0.5, 0.5, 0.5
BB12018, 0.0, 0.0, 0.0
BB12019, 0.0, 0.0, 0.0
BB12020, 0.0, 0.0, 0.0
BB12021, 0.0, 0.0, 0.0
BB12022, 0.0, 0.0, 0.0
BB12023, 0.0, 0.0, 0.0
BB12024, 0.0, 0.0, 0.0
BB12025, 0.0, 0.0, 0.0
BB12026, 0.666666666667, 0.666666666667, 0.666666666667
BB12027, 0.7, 0.7, 0.7
BB12028, 0.0, 0.0, 0.0
BB12029, 0.444444444444, 0.444444444444, 0.444444444444
BB12030, 0.0, 0.0, 0.0
BB12031, 0.571428571429, 0.571428571429, 0.571428571429
BB12032, 0.666666666667, 0.666666666667, 0.666666666667
BB12033, 0.0, 0.0, 0.0
BB12034, 0.0, 0.0, 0.0
BB12035, 0.208333333333, 0.208333333333, 0.208333333333
BB12036, 0.0, 0.0, 0.0
BB12037, 0.4, 0.4, 0.4
BB12038, 0.428571428571, 0.428571428571, 0.428571428571
BB12039, 0.5, 0.5, 0.5
BB12040, 0.0, 0.0, 0.0
BB12041, 0.5, 0.5, 0.5
BB12042, 0.0, 0.0, 0.0
BB12043, 0.741935483871, 0.741935483871, 0.741935483871
BB12044, 0.375, 0.375, 0.375
BB20001, 0.692307692308, 0.692307692308, 0.692307692308
BB20002, 0.529411764706, 0.529411764706, 0.529411764706
BB20003, 0.253521126761, 0.253521126761, 0.253521126761
BB20004, 0.230769230769, 0.230769230769, 0.230769230769
BB20005, 0.307692307692, 0.307692307692, 0.307692307692
BB20006, 0.291666666667, 0.291666666667, 0.291666666667
BB20007, 0.4, 0.4, 0.4
BB20008, 0.603773584906, 0.603773584906, 0.603773584906
BB20009, 0.0384615384615, 0.0384615384615, 0.0384615384615
BB20010, 0.346153846154, 0.346153846154, 0.346153846154
BB20011, 0.555555555556, 0.555555555556, 0.555555555556
BB20012, 0.291666666667, 0.291666666667, 0.291666666667
BB20013, 0.4, 0.4, 0.4
BB20014, 0.516129032258, 0.516129032258, 0.516129032258
BB20015, 0.588235294118, 0.588235294118, 0.588235294118
BB20016, 0.833333333333, 0.833333333333, 0.833333333333
BB20017, 0.238095238095, 0.238095238095, 0.238095238095
BB20018, 0.44, 0.44, 0.44
BB20019, 0.333333333333, 0.333333333333, 0.333333333333
BB20020, 0.0, 0.0, 0.0
BB20021, 0.3, 0.3, 0.3
BB20022, 0.163636363636, 0.163636363636, 0.163636363636
BB20023, 0.357142857143, 0.357142857143, 0.357142857143
BB20024, 0.444444444444, 0.444444444444, 0.444444444444
BB20025, 0.24358974359, 0.24358974359, 0.24358974359
BB20026, 0.51724137931, 0.51724137931, 0.51724137931
BB20027, 0.307692307692, 0.307692307692, 0.307692307692
BB20028, 0.21568627451, 0.21568627451, 0.21568627451
BB20029, 0.538461538462, 0.538461538462, 0.538461538462
BB20030, 0.727272727273, 0.727272727273, 0.727272727273
BB20031, 0.315789473684, 0.315789473684, 0.315789473684
BB20032, 0.379310344828, 0.379310344828, 0.379310344828
BB20033, 0.266666666667, 0.266666666667, 0.266666666667
BB20034, 0.607142857143, 0.607142857143, 0.607142857143
BB20035, 0.3125, 0.3125, 0.3125
BB20036, 0.545454545455, 0.545454545455, 0.545454545455
BB20037, 0.193548387097, 0.193548387097, 0.193548387097
BB20038, 0.435897435897, 0.435897435897, 0.435897435897
BB20039, 0.386363636364, 0.386363636364, 0.386363636364
BB20040, 0.321428571429, 0.321428571429, 0.321428571429
BB20041, 0.466666666667, 0.466666666667, 0.466666666667
BB30001, 0.274336283186, 0.274336283186, 0.274336283186
BB30002, 0.178571428571, 0.178571428571, 0.178571428571
BB30003, 0.294964028777, 0.294964028777, 0.294964028777
BB30004, 0.127659574468, 0.127659574468, 0.127659574468
BB30005, 0.254545454545, 0.254545454545, 0.254545454545
BB30006, 0.666666666667, 0.666666666667, 0.666666666667
BB30007, 0.47619047619, 0.47619047619, 0.47619047619
BB30008, 0.454545454545, 0.454545454545, 0.454545454545
BB30009, 0.628571428571, 0.628571428571, 0.628571428571
BB30010, 0.212765957447, 0.212765957447, 0.212765957447
BB30011, 0.193548387097, 0.193548387097, 0.193548387097
BB30012, 0.209677419355, 0.209677419355, 0.209677419355
BB30013, 0.204819277108, 0.204819277108, 0.204819277108
BB30014, 0.317073170732, 0.317073170732, 0.317073170732
BB30015, 0.333333333333, 0.333333333333, 0.333333333333
BB30016, 0.382352941176, 0.382352941176, 0.382352941176
BB30017, 0.25, 0.25, 0.25
BB30018, 0.28, 0.28, 0.28
BB30019, 0.451612903226, 0.451612903226, 0.451612903226
BB30020, 0.622641509434, 0.622641509434, 0.622641509434
BB30021, 0.379562043796, 0.379562043796, 0.379562043796
BB30022, 0.587301587302, 0.587301587302, 0.587301587302
BB30023, 0.418918918919, 0.418918918919, 0.418918918919
BB30024, 0.19696969697, 0.19696969697, 0.19696969697
BB30025, 0.408450704225, 0.408450704225, 0.408450704225
BB30026, 0.192307692308, 0.192307692308, 0.192307692308
BB30027, 0.411764705882, 0.411764705882, 0.411764705882
BB30028, 0.453488372093, 0.453488372093, 0.453488372093
BB30029, 0.168421052632, 0.168421052632, 0.168421052632
BB30030, 0.305084745763, 0.305084745763, 0.305084745763
BB40001, 0.64, 0.64, 0.64
BB40002, 0.769230769231, 0.769230769231, 0.769230769231
BB40003, 0.111111111111, 0.111111111111, 0.111111111111
BB40004, 0.234375, 0.234375, 0.234375
BB40005, 0.222222222222, 0.222222222222, 0.222222222222
BB40006, 0.0, 0.0, 0.0
BB40007, 0.0, 0.0, 0.0
BB40008, 0.333333333333, 0.333333333333, 0.333333333333
BB40009, 0.3125, 0.3125, 0.3125
BB40010, 0.666666666667, 0.666666666667, 0.666666666667
BB40011, 0.555555555556, 0.555555555556, 0.555555555556
BB40012, 0.157894736842, 0.157894736842, 0.157894736842
BB40013, 0.53125, 0.53125, 0.53125
BB40014, 0.5, 0.5, 0.5
BB40015, 0.733333333333, 0.733333333333, 0.733333333333
BB40016, 0.538461538462, 0.538461538462, 0.538461538462
BB40017, 0.538461538462, 0.538461538462, 0.538461538462
BB40018, 0.166666666667, 0.166666666667, 0.166666666667
BB40019, 0.428571428571, 0.428571428571, 0.428571428571
BB40020, 0.2, 0.2, 0.2
BB40021, 0.409090909091, 0.409090909091, 0.409090909091
BB40022, 0.818181818182, 0.818181818182, 0.818181818182
BB40023, 0.473684210526, 0.473684210526, 0.473684210526
BB40024, 0.58064516129, 0.58064516129, 0.58064516129
BB40025, 0.0909090909091, 0.0909090909091, 0.0909090909091
BB40026, 0.151515151515, 0.151515151515, 0.151515151515
BB40027, 0.366666666667, 0.366666666667, 0.366666666667
BB40028, 0.210526315789, 0.210526315789, 0.210526315789
BB40029, 0.428571428571, 0.428571428571, 0.428571428571
BB40030, 0.310344827586, 0.310344827586, 0.310344827586
